charge_id,c_charge_desc,mturk_charge_name,,,,,,,
76,Compulsory Sch Attnd Violation,Compulsory Education Attendance Violation,,,,,,,
77,Computer Pornography,Computer Pornography,,,,,,,
78,Consp Traff Oxycodone  4g><14g,Drug Trafficking,,,,,,,
79,Consp Traff Oxycodone 28g><30k,Drug Trafficking,,,,,,,
80,Conspiracy Dealing Stolen Prop,Dealing Stolen Property,,,,,,,
81,Conspiracy to Deliver Cocaine,Delivery of Controlled Substances,,,,,,,
82,Consume Alcoholic Bev Pub,Consuming Alcoholic Beverage in Public,,,,,,,
83,Contradict Statement,Providing a Contradicting Statement,,,,,,,
84,Contribute Delinquency Of A Minor,Contributing to the Delinquency Of A Minor,,,,,,,
85,Corrupt Public Servant,Threatening a Public Servant,,,,,,,
86,Counterfeit Lic Plates/Sticker,Forgery,,,,,,,
87,Crim Attempt/Solic/Consp,Conspiracy Attempt and Solicitation,,,,,,,
88,Crim Attempt/Solicit/Consp,Conspiracy Attempt and Solicitation,,,,,,,
89,Crim Use of Personal ID Info,Forgery,,,,,,,
90,Crimin Mischief Damage $1000+,Criminal Damage of more than $1000,,,,,,,
91,Criminal Attempt 3rd Deg Felon,Criminal Damage of less than $1000,,,,,,,
92,Criminal Mischief,Criminal Damage of less than $1000,,,,,,,
93,Criminal Mischief Damage <$200,Criminal Damage of less than $1000,,,,,,,
94,Criminal Mischief>$200<$1000,Criminal Damage of less than $1000,,,,,,,
95,Crlty Twrd Child Urge Oth Act,Child Abuse,,,,,,,
96,Cruelty to Animals,Animal Cruelty,,,,,,,
97,Cruelty Toward Child,Child Abuse,,,,,,,
98,Culpable Negligence,Child Abuse,,,,,,,
99,D.U.I. Serious Bodily Injury,Driving Under the Influence,,,,,,,
100,Dealing in Stolen Property,Dealing Controlled Substances,,,,,,,
101,Defrauding Innkeeper,Fraud,,,,,,,
102,Defrauding Innkeeper $300/More,Fraud,,,,,,,
103,"Del 3,4 Methylenedioxymethcath",Dealing Ecstasy,,,,,,,
104,Del Cannabis At/Near Park,Dealing Cannabis/Marijuana,,,,,,,
105,Del Cannabis For Consideration,Dealing Cannabis/Marijuana,,,,,,,
106,Del Morphine at/near Park,Dealing Controlled Substances,,,,,,,
107,Del of JWH-250 2-Methox 1-Pentyl,Dealing Controlled Substances,,,,,,,
108,"Deliver 3,4 Methylenediox",Dealing Controlled Substances,,,,,,,
109,Deliver Alprazolam,Dealing Controlled Substances,,,,,,,
110,Deliver Cannabis,Dealing Cannabis/Marijuana,,,,,,,
111,Deliver Cannabis 1000FTSch,Dealing Cannabis/Marijuana,,,,,,,
112,Deliver Cocaine,Dealing Cocaine,,,,,,,
113,Deliver Cocaine 1000FT Church,Dealing Cocaine,,,,,,,
114,Deliver Cocaine 1000FT Park,Dealing Cocaine,,,,,,,
115,Deliver Cocaine 1000FT School,Dealing Cocaine,,,,,,,
116,Deliver Cocaine 1000FT Store,Dealing Cocaine,,,,,,,
117,Delivery of 5-Fluoro PB-22,Dealing Cannabis/Marijuana,,,,,,,
118,Delivery Of Drug Paraphernalia,Dealing Controlled Substances,,,,,,,
119,Delivery of Heroin,Dealing Heroin,,,,,,,
120,Depriv LEO of Protect/Communic,Deprive Law Enforcement Officer of Protection,,,,,,,
121,Discharge Firearm From Vehicle,Discharging Firearm From Vehicle,,,,,,,
122,Disorderly Conduct,Disorderly Conduct,,,,,,,
123,Disorderly Intoxication,Disorderly Intoxication,,,,,,,
124,Disrupting School Function,Disrupting a School Function,,,,,,,
125,DOC/Cause Public Danger,Causing Public Danger,,,,,,,
126,Drivg While Lic Suspd/Revk/Can,Driving with a Suspended License,,,,,,,
127,Driving License Suspended,Driving with a Suspended License,,,,,,,
128,Driving Under The Influence,Driving Under the Influence,,,,,,,
129,Driving While License Revoked,Driving with a Revoked License,,,,,,,
130,DUI - Enhanced,Driving Under the Influence,,,,,,,
131,DUI - Property Damage/Personal Injury,Driving Under the Influence,,,,,,,
132,DUI Blood Alcohol Above 0.20,Driving Under the Influence,,,,,,,
133,DUI Level 0.15 Or Minor In Veh,Driving Under the Influence,,,,,,,
134,DUI Property Damage/Injury,Driving Under the Influence,,,,,,,
135,DUI- Enhanced,Driving Under the Influence,,,,,,,
136,DUI/Property Damage/Persnl Inj,Driving Under the Influence,,,,,,,
137,DWI w/Inj Susp Lic / Habit Off,Driving Under the Influence,,,,,,,
138,DWLS Canceled Disqul 1st Off,Driving with a Suspended License,,,,,,,
139,DWLS Susp/Cancel Revoked,Driving with a Suspended License,,,,,,,
140,Escape,Escape,,,,,,,
141,Exhibition Weapon School Prop,Exhibition of a Weapon on School Property,,,,,,,
142,Expired DL More Than 6 Months,Driving with an Expired License,,,,,,,
143,Exploit Elderly Person 20-100K,"Exploitation of an Elderly Person of $20,000-$100,000",,,,,,,
144,Exposes Culpable Negligence,Child Abuse,,,,,,,
145,Extradition/Defendants,Extradition of Defendants,,,,,,,
146,Fabricating Physical Evidence,Fabricating Physical Evidence,,,,,,,
147,Fail Obey Driv Lic Restrictions,Failure to Obey Drivers License Restrictions,,,,,,,
148,Fail Register Career Offender,Failure to Obey Sex Offender Laws,,,,,,,
149,Fail Register Vehicle,Failure to Register a Vehicle,,,,,,,
150,Fail Sex Offend Report Bylaw,Failure to Obey Sex Offender Laws,,,,,,,
151,Fail To Obey Police Officer,Failure to Obey Police Officer,,,,,,,
152,Fail To Redeliv Hire/Leas Prop,Failure to Redeliver Hired or Leased Property,,,,,,,
153,Fail To Redeliver Hire Prop,Failure to Redeliver Hired or Leased Property,,,,,,,
154,Fail To Secure Load,Reckless Driving,,,,,,,
155,Failure To Pay Taxi Cab Charge,Theft,,,,,,,
156,Failure To Return Hired Vehicle,Theft,,,,,,,
157,False 911 Call,False 911 Call,,,,,,,
158,False Bomb Report,False 911 Call,,,,,,,
159,False Imprisonment,False Imprisonment,,,,,,,
160,False Info LEO During Invest,False Information to Law Enforcement Officer During Investigation,,,,,,,
161,False Motor Veh Insurance Card,Fraud,,,,,,,
162,False Name By Person Arrest,Fraud,,,,,,,
163,False Ownership Info/Pawn Item,Fraud,,,,,,,
164,Falsely Impersonating Officer,Fraud,,,,,,,
165,Fel Drive License Perm Revoke,Driving with a Revoked License,,,,,,,
166,Felon in Pos of Firearm or Amm,Felon in Possession of Firearm,,,,,,,
167,Felony Batt(Great Bodily Harm),Battery,,,,,,,
168,Felony Battery,Battery,,,,,,,
169,Felony Battery (Dom Strang),Battery,,,,,,,
170,Felony Battery w/Prior Convict,Battery,,,,,,,
171,Felony Committing Prostitution,Prostitution,,,,,,,
172,Felony Driving While Lic Suspd,Driving with a Suspended License,,,,,,,
173,Felony DUI - Enhanced,Driving Under the Influence,,,,,,,
174,Felony DUI (level 3),Driving Under the Influence,,,,,,,
175,Felony Petit Theft,Theft,,,,,,,
176,Felony/Driving Under Influence,Driving Under the Influence,,,,,,,
177,Fighting/Baiting Animals,Animal Cruelty,,,,,,,
178,Flee/Elude LEO-Agg Flee Unsafe,Fleeing a Law Enforcement Officer,,,,,,,
179,Fleeing Or Attmp Eluding A Leo,Fleeing a Law Enforcement Officer,,,,,,,
180,Fleeing or Eluding a LEO,Fleeing a Law Enforcement Officer,,,,,,,
181,Forging Bank Bills/Promis Note,Fraud,,,,,,,
182,Fraud Obtain Food or Lodging,Fraud,,,,,,,
183,Fraudulent Use of Credit Card,Fraud,,,,,,,
184,Gambling/Gamb Paraphernalia,Illegal Gambling,,,,,,,
185,Giving False Crime Report,Fraud,,,,,,,
186,Grand Theft (Motor Vehicle),Grand Theft,,,,,,,
187,Grand Theft Dwell Property,Grand Theft,,,,,,,
188,Grand Theft Firearm,Grand Theft,,,,,,,
189,Grand Theft in the 1st Degree,Grand Theft,,,,,,,
190,Grand Theft in the 3rd Degree,Grand Theft,,,,,,,
191,Grand Theft of a Fire Extinquisher,Grand Theft,,,,,,,
192,Grand Theft of the 2nd Degree,Grand Theft,,,,,,,
193,Grand Theft on 65 Yr or Older,Grand Theft,,,,,,,
194,Harass Witness/Victm/Informnt,Harassment,,,,,,,
195,Harm Public Servant Or Family,Harassment,,,,,,,
196,Hiring with Intent to Defraud,Fraud,,,,,,,
197,Imperson Public Officer or Emplyee,Fraud,,,,,,,
198,Insurance Fraud,Insurance Fraud,,,,,,,
199,Interfere W/Traf Cont Dev RR,Interference with Traffic Control Railroad Divide,,,,,,,
200,Interference with Custody,Interference with Custody,,,,,,,
201,Intoxicated/Safety Of Another,Intoxicated Dangering of Safety of Another,,,,,,,
202,Introduce Contraband Into Jail,Introducing Contraband Into Jail,,,,,,,
203,Issuing a Worthless Draft,Fraud,,,,,,,
204,Kidnapping / Domestic Violence,Kidnapping,,,,,,,
205,Lease For Purpose Trafficking,Drug Trafficking,,,,,,,
206,Leave Acc/Attend Veh/More $50,Fleeing the Scene of an Accident,,,,,,,
207,Leave Accd/Attend Veh/Less $50,Fleeing the Scene of an Accident,,,,,,,
208,Leaving Acc/Unattended Veh,Fleeing the Scene of an Accident,,,,,,,
209,Leaving the Scene of Accident,Fleeing the Scene of an Accident,,,,,,,
210,Lewd Act Presence Child 16-,Child Molestation,,,,,,,
211,Lewd or Lascivious Molestation,Child Molestation,,,,,,,
212,Lewd/Lasc Battery Pers 12+/<16,Child Molestation,,,,,,,
213,Lewd/Lasc Exhib Presence <16yr,Child Molestation,,,,,,,
214,Lewd/Lasciv Molest Elder Persn,Elder Molestation,,,,,,,
215,Lewdness Violation,Child Molestation,,,,,,,
216,License Suspended Revoked,Driving with a Revoked License,,,,,,,
217,Littering,Littering,,,,,,,
218,Live on Earnings of Prostitute,Prostitution,,,,,,,
219,Lve/Scen/Acc/Veh/Prop/Damage,Fleeing the Scene of an Accident,,,,,,,
220,Manage Busn W/O City Occup Lic,Fraud,,,,,,,
221,Manslaughter W/Weapon/Firearm,Manslaughter,,,,,,,
222,Manufacture Cannabis,Manufacturing Cannabis/Marijuana,,,,,,,
223,Misuse Of 911 Or E911 System,False 911 Call,,,,,,,
224,Money Launder 100K or More Dols,Money Laundering,,,,,,,
225,Murder in 2nd Degree,Murder,,,,,,,
226,Murder In 2nd Degree W/firearm,Murder,,,,,,,
227,Murder in the First Degree,Murder,,,,,,,
228,Neglect Child / Bodily Harm,Child Neglect,,,,,,,
229,Neglect Child / No Bodily Harm,Child Neglect,,,,,,,
230,Neglect/Abuse Elderly Person,Neglect of an Elderly Person,,,,,,,
231,Obstruct Fire Equipment,Obstruction of Fire Equipment,,,,,,,
232,Obstruct Officer W/Violence,Obstruction of Officer with Violence,,,,,,,
233,Obtain Control Substance By Fraud,Obtaining Controlled Substance by Fraud,,,,,,,
234,Offer Agree Secure For Lewd Act,Prostitution,,,,,,,
235,Offer Agree Secure/Lewd Act,Prostitution,,,,,,,
236,Offn Against Intellectual Prop,Offense Against Intellectual Property,,,,,,,
237,Open Carrying Of Weapon,Open Carrying of Weapon,,,,,,,
238,Oper Motorcycle W/O Valid DL,Operating Motorcycle without a Valid Drivers License,,,,,,,
239,Operating W/O Valid License,Operating a Vehicle without a Valid Drivers License,,,,,,,
240,Opert With Susp DL 2nd Offens,Driving with a Suspended License,,,,,,,
241,Opert With Susp DL 2ND Offense,Driving with a Suspended License,,,,,,,
242,Petit Theft,Theft,,,,,,,
243,Petit Theft $100- $300,Theft,,,,,,,
244,PL/Unlaw Use Credit Card,Fraud,,,,,,,
245,Pos Cannabis For Consideration,Possession of Cannabis/Marijuana,,,,,,,
246,Pos Cannabis W/Intent Sel/Del,Possession of Cannabis/Marijuana,,,,,,,
247,Pos Methylenedioxymethcath W/I/D/S,Possession of Ecstasy,,,,,,,
248,"Poss 3,4 MDMA (Ecstasy)",Possession of Ecstasy,,,,,,,
249,Poss Alprazolam W/int Sell/Del,Possession of a Controlled Substance,,,,,,,
250,Poss Anti-Shoplifting Device,Theft,,,,,,,
251,Poss Cntrft Contr Sub w/Intent,Possession of a Controlled Substance,,,,,,,
252,Poss Cocaine/Intent To Del/Sel,Possession of Cocaine,,,,,,,
253,Poss Contr Subst W/o Prescript,Possession of a Controlled Substance,,,,,,,
254,Poss Counterfeit Payment Inst,Forgery,,,,,,,
255,Poss Drugs W/O A Prescription,Possession of a Controlled Substance,,,,,,,
256,Poss F/Arm Delinq,Unlawful Possession of Firearm,,,,,,,
257,Poss Firearm W/Altered ID#,Unlawful Possession of Firearm,,,,,,,
258,Poss Meth/Diox/Meth/Amp (MDMA),Possession of Ecstasy,,,,,,,
259,"Poss Of 1,4-Butanediol",Possession of a Controlled Substance,,,,,,,
260,Poss of Cocaine W/I/D/S 1000FT Park,Possession of Cocaine,,,,,,,
261,Poss Of Controlled Substance,Possession of a Controlled Substance,,,,,,,
262,Poss of Firearm by Convic Felo,Unlawful Possession of Firearm,,,,,,,
263,Poss of Methylethcathinone,Possession of a Controlled Substance,,,,,,,
264,Poss Of RX Without RX,Possession of a Controlled Substance,,,,,,,
265,Poss of Vessel w/Altered ID NO,Unlawful Possession of Firearm,,,,,,,
266,Poss Oxycodone W/Int/Sell/Del,Possession of a Controlled Substance,,,,,,,
267,Poss Pyrrolidinobutiophenone,Possession of a Controlled Substance,,,,,,,
268,Poss Pyrrolidinovalerophenone,Possession of a Controlled Substance,,,,,,,
269,Poss Pyrrolidinovalerophenone W/I/D/S,Possession of a Controlled Substance,,,,,,,
270,Poss Similitude of Drivers Lic,Forgery,,,,,,,
271,Poss Tetrahydrocannabinols,Possession of a Controlled Substance,,,,,,,
272,Poss Trifluoromethylphenylpipe,Possession of a Controlled Substance,,,,,,,
273,Poss Unlaw Issue Driver Licenc,Forgery,,,,,,,
274,Poss Unlaw Issue Id,Forgery,,,,,,,
275,Poss Wep Conv Felon,Unlawful Possession of Firearm,,,,,,,
276,Poss/pur/sell/deliver Cocaine,Possession of Cocaine,,,,,,,
277,Poss/Sell/Del Cocaine 1000FT Sch,Possession of Cocaine,,,,,,,
278,Poss/Sell/Del/Man Amobarbital,Possession of a Controlled Substance,,,,,,,
279,Poss/Sell/Deliver Clonazepam,Possession of a Controlled Substance,,,,,,,
280,"Poss3,4 Methylenedioxymethcath",Possession of Ecstasy,,,,,,,
281,Posses/Disply Susp/Revk/Frd DL,Driving with a Suspended License,,,,,,,
282,Possess Cannabis 1000FTSch,Possession of Cannabis/Marijuana,,,,,,,
283,Possess Cannabis/20 Grams Or Less,Possession of Cannabis/Marijuana,,,,,,,
284,Possess Controlled Substance,Possession of a Controlled Substance,,,,,,,
285,Possess Countrfeit Credit Card,Fraud,,,,,,,
286,Possess Drug Paraphernalia,Possession of a Controlled Substance,,,,,,,
287,Possess Mot Veh W/Alt Vin #,Possession of a Motor Vehicle with Altered Vehicle Identification Number,,,,,,,
288,Possess Tobacco Product Under 18,Possession of a Tobacco Product Under 18 Years of Age,,,,,,,
289,Possess w/I/Utter Forged Bills,Forgery,,,,,,,
290,Possess Weapon On School Prop,Possession of Weapon on School Property,,,,,,,
291,Possess/Use Weapon 1 Deg Felon,Unlawful Possession of Firearm,,,,,,,
292,Possession Burglary Tools,Burglary,,,,,,,
293,Possession Child Pornography,Possession of Child Pornography,,,,,,,
294,Possession Firearm School Prop,Possession of Weapon on School Property,,,,,,,
295,"Possession Of 3,4Methylenediox",Possession of a Controlled Substance,,,,,,,
296,Possession of Alcohol Under 21,Possession of Alcohol Under 21 Years of Age,,,,,,,
297,Possession Of Alprazolam,Possession of a Controlled Substance,,,,,,,
298,Possession Of Amphetamine,Possession of a Controlled Substance,,,,,,,
299,Possession Of Anabolic Steroid,Possession of a Controlled Substance,,,,,,,
300,Possession of Benzylpiperazine,Possession of a Controlled Substance,,,,,,,
301,Possession Of Buprenorphine,Possession of a Controlled Substance,,,,,,,
302,Possession of Butylone,Possession of a Controlled Substance,,,,,,,
303,Possession of Cannabis,Possession of Cannabis/Marijuana,,,,,,,
304,Possession Of Carisoprodol,Possession of a Controlled Substance,,,,,,,
305,Possession Of Clonazepam,Possession of a Controlled Substance,,,,,,,
306,Possession of Cocaine,Possession of Cocaine,,,,,,,
307,Possession of Codeine,Possession of Cocaine,,,,,,,
308,Possession Of Diazepam,Possession of a Controlled Substance,,,,,,,
309,Possession of Ethylone,Possession of a Controlled Substance,,,,,,,
310,Possession Of Fentanyl,Possession of a Controlled Substance,,,,,,,
311,Possession Of Heroin,Possession of Heroin,,,,,,,
312,Possession of Hydrocodone,Possession of a Controlled Substance,,,,,,,
313,Possession of Hydromorphone,Possession of a Controlled Substance,,,,,,,
314,Possession Of Lorazepam,Possession of a Controlled Substance,,,,,,,
315,Possession of LSD,Possession of LSD,,,,,,,
316,Possession of Methadone,Possession of a Controlled Substance,,,,,,,
317,Possession Of Methamphetamine,Possession of Meth,,,,,,,
318,Possession of Morphine,Possession of Morphine,,,,,,,
319,Possession of Oxycodone,Possession of Oxycodone,,,,,,,
320,Possession Of Paraphernalia,Possession of a Controlled Substance,,,,,,,
321,Possession Of Phentermine,Possession of a Controlled Substance,,,,,,,
322,Possession of XLR11,Possession of a Controlled Substance,,,,,,,
323,Present Proof of Invalid Insur,Fraud,,,,,,,
324,Principal In The First Degree,Principal In The First Degree,,,,,,,
325,Prostitution,Prostitution,,,,,,,
326,Prostitution/Lewd Act Assignation,Prostitution,,,,,,,
327,Prostitution/Lewdness/Assign,Prostitution,,,,,,,
328,Prowling/Loitering,Loitering,,,,,,,
329,Purchase Cannabis,Purchasing Cannabis/Marijuana,,,,,,,
330,Purchase Of Cocaine,Purchasing Cannabis/Marijuana,,,,,,,
331,Purchase/P/W/Int Cannabis,Purchasing Cannabis/Marijuana,,,,,,,
332,Purchasing Of Alprazolam,Purchasing a Controlled Substance,,,,,,,
333,Reckless Driving,Reckless Driving,,,,,,,
334,Refuse Submit Blood/Breath Test,Refusing to Submit Blood or Breath Test for DUI,,,,,,,
335,Refuse to Supply DNA Sample,Refusing to Supply DNA Sample,,,,,,,
336,Resist Officer w/Violence,Resisting an Officer with Violence,,,,,,,
337,Resist/Obstruct W/O Violence,Resisting an Officer,,,,,,,
338,Restraining Order Dating Viol,Restraining Order Violation,,,,,,,
339,Retail Theft $300 1st Offense,Theft,,,,,,,
340,Retail Theft $300 2nd Offense,Theft,,,,,,,
341,Ride Tri-Rail Without Paying,Theft,,,,,,,
342,Robbery / No Weapon,Robbery,,,,,,,
343,Robbery / Weapon,Robbery with a Weapon,,,,,,,
344,Robbery Sudd Snatch No Weapon,Robbery,,,,,,,
345,Robbery W/Deadly Weapon,Robbery with a Weapon,,,,,,,
346,Robbery W/Firearm,Robbery with a Weapon,,,,,,,
347,Sale/Del Cannabis At/Near Scho,Dealing Cannabis/Marijuana,,,,,,,
348,Sale/Del Counterfeit Cont Subs,Dealing Controlled Substances,,,,,,,
349,Sel Etc/Pos/w/Int Contrft Schd,Possession with Intent to Sell Counterfeits,,,,,,,
350,Sel/Pur/Mfr/Del Control Substa,Dealing Controlled Substances,,,,,,,
351,Sell Cannabis,Dealing Cannabis/Marijuana,,,,,,,
352,Sell Conterfeit Cont Substance,Dealing Controlled Substances,,,,,,,
353,Sell or Offer for Sale Counterfeit Goods,Selling Counterfeit Goods,,,,,,,
354,Sell/Man/Del Pos/w/int Heroin,Possession of Heroin,,,,,,,
355,Sex Batt Faml/Cust Vict 12-17Y,Sexual Assault,,,,,,,
356,Sex Battery Deft 18+/Vict 11-,Sexual Assault,,,,,,,
357,Sex Offender Fail Comply W/Law,Sex Offender Failing to Comply with Law,,,,,,,
358,Sexual Battery / Vict 12 Yrs +,Sexual Assault,,,,,,,
359,Sexual Performance by a Child,Child Molestation,,,,,,,
360,Shoot In Occupied Dwell,Shooting into a Home,,,,,,,
361,Shoot Into Vehicle,Shooting into a Vehicle,,,,,,,
362,Simulation of Legal Process,Simulation of Legal Process,,,,,,,
363,Solic to Commit Battery,Battery,,,,,,,
364,Solicit Deliver Cocaine,Purchasing Cocaine,,,,,,,
365,Solicit Purchase Cocaine,Purchasing Cocaine,,,,,,,
366,Solicit To Deliver Cocaine,Purchasing Cocaine,,,,,,,
367,Solicitation On Felony 3 Deg,Soliciting For Prostitution,,,,,,,
368,Soliciting For Prostitution,Soliciting For Prostitution,,,,,,,
369,Sound Articles Over 100,Sound Articles Over 100,,,,,,,
370,Stalking,Stalking,,,,,,,
371,Stalking (Aggravated),Stalking,,,,,,,
372,Strong Armed  Robbery,Armed Robbery,,,,,,,
373,Structuring Transactions,Fraud,,,,,,,
374,Susp Drivers Lic 1st Offense,Driving with a Suspended License,,,,,,,
375,Tamper With Victim,Tampering with a Witness,,,,,,,
376,Tamper With Witness,Tampering with a Witness,,,,,,,
377,Tamper With Witness/Victim/CI,Tampering with a Witness,,,,,,,
378,Tampering with a Victim,Tampering with a Witness,,,,,,,
379,Tampering With Physical Evidence,Tampering With Physical Evidence,,,,,,,
380,Theft,Theft,,,,,,,
381,Theft/To Deprive,Theft,,,,,,,
382,Threat Public Servant,Threat Against Public Servant,,,,,,,
383,Throw Deadly Missile Into Veh,Throwing Deadly Missile,,,,,,,
384,Throw In Occupied Dwell,Throwing Deadly Missile,,,,,,,
385,Throw Missile Into Pub/Priv Dw,Throwing Deadly Missile,,,,,,,
386,Traff In Cocaine <400g>150 Kil,Drug Trafficking,,,,,,,
387,Traffic Counterfeit Cred Cards,Drug Trafficking,,,,,,,
388,Traffick Amphetamine 28g><200g,Drug Trafficking,,,,,,,
389,Traffick Hydrocodone   4g><14g,Drug Trafficking,,,,,,,
390,Traffick Oxycodone     4g><14g,Drug Trafficking,,,,,,,
391,Trans/Harm/Material to a Minor,Child Abuse,,,,,,,
392,Trespass On School Grounds,Trespassing,,,,,,,
393,Trespass Other Struct/Conve,Trespassing,,,,,,,
394,Trespass Private Property,Trespassing,,,,,,,
395,Trespass Property w/Dang Weap,Trespassing,,,,,,,
396,Trespass Struct/Convey Occupy,Trespassing,,,,,,,
397,Trespass Struct/Conveyance,Trespassing,,,,,,,
398,Trespass Structure w/Dang Weap,Trespassing,,,,,,,
399,Trespass Structure/Conveyance,Trespassing,,,,,,,
400,Trespassing/Construction Site,Trespassing,,,,,,,
401,Tresspass in Structure or Conveyance,Trespassing,,,,,,,
402,Tresspass Struct/Conveyance,Trespassing,,,,,,,
403,Unauth C/P/S Sounds>1000/Audio,Unauthorized Loud Noise,,,,,,,
404,Unauth Poss ID Card or DL,Fraud,,,,,,,
405,Unauthorized Interf w/Railroad,Unauthorized Interference with a Railroad,,,,,,,
406,Unemployment Compensatn Fraud,Fraud,,,,,,,
407,Unl/Disturb Education/Instui,Unlawful Disturbance,,,,,,,
408,Unlaw Lic Use/Disply Of Others,Fraud,,,,,,,
409,Unlaw LicTag/Sticker Attach,Fraud,,,,,,,
410,Unlaw Use False Name/Identity,Fraud,,,,,,,
411,Unlawful Conveyance of Fuel,Theft,,,,,,,
412,Unlawful Use Of Police Badges,Fraud,,,,,,,
413,Unlicensed Telemarketing,Unlicensed Telemarketing,,,,,,,
414,Use Computer for Child Exploit,Using a Computer for Child Exploitation,,,,,,,
415,Use Of 2 Way Device To Fac Fel,Use of 2 Way Device to Facilitate Felony,,,,,,,
416,Use of Anti-Shoplifting Device,Shoplifting,,,,,,,
417,Use Scanning Device to Defraud,Forgery,,,,,,,
418,Uttering a Forged Instrument,Forgery,,,,,,,
419,Uttering Forged Bills,Forgery,,,,,,,
420,Uttering Forged Credit Card,Forgery,,,,,,,
421,Uttering Worthless Check +$150,Forgery,,,,,,,
