charge_id,mturk_charge_name,full_charge_description,,,,,,,,,,,,,,,,,,,,,,
151,Failure to Obey Police Officer,Failure to obey the orders of a police officer,,,,,,,,,,,,,,,,,,,,,,
154,Reckless Driving,When you drive a vehicle in a manner that shows a willful disregard for the safety of persons or property,,,,,,,,,,,,,,,,,,,,,,
155,Theft,The taking of another person's property worth less than $300,,,,,,,,,,,,,,,,,,,,,,
159,False Imprisonment,"When a person either forcibly, by threat, confines, abducts, imprisons, or restrains another person without lawful authority against their will, or secretly confines, abducts, imprisons, or restrains another person without lawful authority against their will",,,,,,,,,,,,,,,,,,,,,,
171,Prostitution,Engaging in sex for money,,,,,,,,,,,,,,,,,,,,,,
186,Grand Theft,The unlawful taking of property worth more than $300,,,,,,,,,,,,,,,,,,,,,,
199,Interference with Traffic Control Railroad Divide,Unlawfully interfering with a railroad divide,,,,,,,,,,,,,,,,,,,,,,
204,Kidnapping,"When a person forcibly, secretly, or by threat confines, abducts, or imprisons another person against their will, without lawful authority",,,,,,,,,,,,,,,,,,,,,,
206,Fleeing the Scene of an Accident,When a person is involved in an accident or crash and willfully leaves the scene of the accident or crash without providing their information to the other individuals involved,,,,,,,,,,,,,,,,,,,,,,
210,Child Molestation,"Intentionally touching the breasts, genitals, or buttocks of a child younger than 16 in a lewd or lascivious manner",,,,,,,,,,,,,,,,,,,,,,
222,Manufacturing Cannabis/Marijuana,Manufacturing or cultivating cannabis,,,,,,,,,,,,,,,,,,,,,,
228,Child Neglect,"When a caregiver willfully, or through culpable negligence, fails to provide a child with the care, supervision, and services necessary to maintain the child's physical and mental health that a prudent person would consider essential for the well-being of the child",,,,,,,,,,,,,,,,,,,,,,
236,Offense Against Intellectual Property,"Robbing people or companies of their ideas, inventions, and creative expressions—known as “intellectual property”—which can include everything from trade secrets and proprietary products and parts to movies, music, and software",,,,,,,,,,,,,,,,,,,,,,
237,Open Carrying of Weapon,"When a person knowingly carries, on or about his or her person, a weapon that is not concealed",,,,,,,,,,,,,,,,,,,,,,
239,Operating a Vehicle without a Valid Drivers License,Operating a motor vehicle without a valid drivers license,,,,,,,,,,,,,,,,,,,,,,
245,Possession of Cannabis/Marijuana,Possession of cannabis/marijuana,,,,,,,,,,,,,,,,,,,,,,
247,Possession of Ecstasy,Possession of Ecstasy,,,,,,,,,,,,,,,,,,,,,,
249,Possession of a Controlled Substance,Possession of a criminalized narcotic or pharmacological drug,,,,,,,,,,,,,,,,,,,,,,
252,Possession of Cocaine,Possession of cocaine,,,,,,,,,,,,,,,,,,,,,,
315,Possession of LSD,Possession of LSD,,,,,,,,,,,,,,,,,,,,,,
317,Possession of Meth,Possession of Meth,,,,,,,,,,,,,,,,,,,,,,
318,Possession of Morphine,Possession of Morphine,,,,,,,,,,,,,,,,,,,,,,
319,Possession of Oxycodone,Possession of Oxycodone,,,,,,,,,,,,,,,,,,,,,,
328,Loitering,"Standing or waiting around idly in a manner unusual for law-abiding citizens, creating an imminent threat to public safety",,,,,,,,,,,,,,,,,,,,,,
336,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",,,,,,,,,,,,,,,,,,,,,,
337,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",,,,,,,,,,,,,,,,,,,,,,
338,Restraining Order Violation,Violating the terms of a restraining order,,,,,,,,,,,,,,,,,,,,,,
355,Sexual Assault,"Sexual assault, also known as rape, sexual abuse and sexual battery, is defined as unwanted oral, anal or vaginal penetration by, or union with, the sexual organ of another or the anal or vaginal penetration of another by any other object",,,,,,,,,,,,,,,,,,,,,,
367,Soliciting For Prostitution,"When a person solicits, induces, entices, or procures another person to engage in prostitution, lewdness, or assignation",,,,,,,,,,,,,,,,,,,,,,
372,Armed Robbery,"When a person intentionally and unlawfully takes money or property from another person through the use of force, violence, assault, or threat while in possession of a firearm or other deadly weapon",,,,,,,,,,,,,,,,,,,,,,
375,Tampering with a Witness,The act of attempting to alter or prevent the testimony of witnesses within criminal or civil proceedings,,,,,,,,,,,,,,,,,,,,,,
382,Threat Against Public Servant,"An intentional and unlawful threat against an emergency medical care provider, firefighter, or law enforcement officer, coupled with the apparent ability to carry out the threat, which creates a genuine and reasonable fear that violence or harm is imminent",,,,,,,,,,,,,,,,,,,,,,
392,Trespassing,"Willfully entering or remaining on some form of real property without authorization, license, or invitation",,,,,,,,,,,,,,,,,,,,,,
413,Unlicensed Telemarketing,When an unlicensed commercial telemarketing company or unlicensed salesperson solicits a purchaser for the purpose of attempting to sell consumer goods or services,,,,,,,,,,,,,,,,,,,,,,
423,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
