mTurk Code,age,gender,race,education,blockNum,
18236789,5,0,7,5,4,
70222384,3,1,1,3,5,
71770939,3,1,4,3,5,
51799913,4,1,1,5,5,
73758657,3,1,1,2,5,
89025726,2,1,1,3,5,
87238400,5,1,1,5,5,
37729486,3,0,1,5,5,
54719357,6,0,1,6,5,
88429354,4,1,1,3,5,
74446248,3,0,1,5,5,
45140294,3,1,1,4,5,
89478731,3,1,2,5,5,
59362349,3,0,1,4,5,
35115510,4,1,1,3,5,
16988655,2,0,1,3,5,
88836367,4,1,1,5,5,
99971194,3,1,1,2,5,
80094678,6,1,1,3,5,
94600819,5,0,1,6,5,
45291739,3,0,1,2,5,
47099290,4,1,1,6,6,
51743629,4,0,4,4,6,
13677787,2,1,1,4,6,
15160675,2,0,3,2,6,
31669109,2,0,1,2,6,
48165872,3,0,1,3,6,
79839596,4,0,1,8,6,
23600657,5,1,1,6,6,
81375016,4,1,3,4,6,
80455798,3,1,1,6,6,
67937254,5,1,1,3,6,
45256618,4,1,2,3,6,
53999418,3,1,4,4,6,
33055895,4,1,1,5,6,
99701993,2,0,1,5,6,
46041891,3,0,2,4,6,
56838588,4,0,1,5,6,
65537023,3,0,7,5,6,
11050071,5,0,1,4,6,
21345140,3,1,2,3,6,
22540216,3,1,1,5,7,
32128974,4,1,1,5,7,
29418914,3,0,1,3,7,
85911373,3,1,1,3,7,
90784498,3,0,3,5,7,
92096533,3,0,1,4,7,
38353874,4,0,1,3,7,
96193153,4,1,1,6,7,
86012978,2,1,1,3,7,
31605219,3,0,4,5,7,
99110151,6,0,1,3,7,
78403436,3,0,2,5,7,
26613472,2,0,5,5,7,
88683076,3,0,1,4,7,
34180202,4,1,1,5,7,
39384595,3,1,1,4,7,
96554301,2,0,3,2,7,
50495391,3,1,2,5,7,
92051483,3,1,1,2,7,
98943729,8,1,1,5,7,
21285458,2,0,1,5,8,
31617127,2,0,1,2,8,
59990390,4,1,1,4,8,
63593071,5,0,1,6,8,
76236956,3,1,4,6,8,
43878071,5,1,1,2,8,
50316328,4,0,2,6,8,
89609522,4,1,1,3,8,
16087973,2,0,1,5,8,
68852083,5,0,1,3,8,
40603940,4,1,4,6,8,
33902813,3,0,1,2,8,
38602353,4,0,1,2,8,
62414378,4,0,1,6,8,
80925678,4,0,7,3,8,
78028132,6,1,1,5,8,
28882085,3,0,7,5,8,
65295327,4,1,1,5,8,
56436250,6,0,1,3,8,
45463051,4,1,1,3,8,
43413448,3,0,1,3,9,
87626436,3,0,1,5,9,
98095173,3,1,1,3,9,
71230177,3,0,1,5,9,
34645946,5,1,1,5,9,
90616621,3,0,1,8,9,
39445987,4,0,1,5,9,
37454589,3,0,1,3,9,
87955908,2,0,1,5,9,
31594061,6,1,1,2,9,
49040315,3,0,1,4,9,
22413515,2,1,1,5,9,
32667461,4,1,1,5,9,
84274795,7,0,1,3,9,
50765094,3,0,1,5,9,
89364567,3,1,1,3,9,
59834655,3,0,1,4,9,
93512675,4,0,1,3,9,
58509623,3,0,1,5,9,
78295211,4,0,7,4,9,
95086378,3,1,4,3,10,
44919933,4,1,1,2,10,
79032975,3,1,1,4,10,
94425185,3,0,3,5,10,
45145481,4,0,1,4,10,
21259253,3,0,2,5,10,
27705915,3,1,1,6,10,
78375395,5,0,1,6,10,
93666113,3,0,1,5,10,
41128206,3,0,1,5,10,
16472049,3,0,1,5,10,
77670380,2,0,1,5,10,
40508338,4,1,4,5,10,
16265128,3,0,3,3,10,
97300966,3,0,1,5,10,
77804816,3,1,1,5,10,
67142813,3,0,1,5,10,
22484319,3,1,1,4,10,
99978958,3,0,3,6,10,
17922826,3,0,2,3,10,
79081595,2,1,1,3,11,
67961695,4,0,6,3,11,
44739838,4,0,1,2,11,
52083213,4,1,1,2,11,
39724049,3,1,1,5,11,
99253063,5,1,1,3,11,
38608770,3,1,1,6,11,
78032275,3,0,1,2,11,
81489201,4,1,1,5,11,
11840009,3,1,1,3,11,
48819370,5,1,1,3,11,
11839803,3,1,2,5,11,
21522232,3,0,1,2,11,
30782822,6,0,1,6,11,
91218993,3,1,1,5,11,
11155305,5,1,7,5,11,
52725700,3,0,1,3,11,
38144612,5,1,2,3,11,
30413505,7,0,1,4,11,
65854809,2,0,1,5,11,
18971179,3,0,4,5,12,
58381358,3,1,1,2,12,
88053238,3,0,1,5,12,
52882746,3,0,1,5,12,
53494966,6,0,1,2,12,
23831598,2,0,3,5,12,
92605139,6,1,1,4,12,
37962077,3,0,1,6,12,
73550172,3,1,1,6,12,
47892016,4,1,4,5,12,
93591555,4,0,1,5,12,
66070718,4,0,1,3,12,
53791786,5,0,1,4,12,
88350402,4,0,1,3,12,
93129881,3,0,1,4,12,
99201675,2,0,7,2,12,
51003090,4,1,1,6,12,
58462704,3,0,2,3,12,
91205069,5,0,1,3,12,
79621296,4,0,1,5,12,
62411078,3,1,1,5,13,
45936931,3,0,1,7,13,
38410176,6,0,1,4,13,
63185649,4,0,1,5,13,
81582129,3,1,1,5,13,
35000201,3,1,1,2,13,
81605810,6,0,1,3,13,
55121103,4,0,1,2,13,
27224127,3,0,4,5,13,
68420220,4,0,1,4,13,
63731354,3,1,1,4,13,
90583859,3,1,1,5,13,
75891157,3,0,1,2,13,
30720844,3,0,1,2,13,
49264299,4,0,1,8,13,
85953969,3,1,4,5,13,
13902942,3,1,1,5,13,
52801057,3,1,2,3,13,
65603189,3,1,1,5,13,
55346710,4,1,2,5,13,
58422577,6,0,1,2,14,
11926010,3,1,1,6,14,
25739630,3,0,1,5,14,
50040620,4,1,1,2,14,
51010400,4,1,1,4,14,
82670043,4,0,1,5,14,
29211474,4,0,3,5,14,
35695800,3,0,1,5,14,
55086471,4,0,7,2,14,
78675041,4,1,1,4,14,
87021505,3,0,1,5,14,
88380573,5,1,1,2,14,
52577286,3,0,1,5,14,
96473722,3,0,1,2,14,
49236236,3,0,1,4,14,
30782935,5,1,1,6,14,
97245651,3,0,1,3,14,
97539607,3,0,4,5,14,
77421813,3,0,4,5,14,
65793636,2,1,1,2,14,
39775342,3,0,1,5,15,
16063152,2,1,4,5,15,
30239641,4,0,1,5,15,
47892575,3,1,1,5,15,
72090893,3,1,3,5,15,
73355560,4,0,1,5,15,
86019994,5,0,1,6,15,
36044534,6,1,1,5,15,
86250212,4,0,1,5,15,
27988766,5,0,7,5,15,
62664685,2,1,4,5,15,
15513023,5,0,1,5,15,
74618847,4,0,1,2,15,
33008479,5,1,1,6,15,
19538435,2,0,1,2,15,
98929465,2,0,1,2,15,
84401849,2,2,1,3,15,
98174968,3,1,1,2,15,
24621004,5,1,1,5,15,
84407547,2,0,7,3,15,
57647724,3,0,1,4,16,
36878278,4,0,1,5,16,
26188380,3,0,1,3,16,
77150070,4,0,1,6,16,
19566069,3,1,1,7,16,
91770674,2,0,1,3,16,
40396360,4,0,7,5,16,
64500546,4,1,1,1,16,
85186612,5,1,1,2,16,
82414449,4,1,1,3,16,
57537365,2,0,1,3,16,
10195901,5,0,1,6,16,
75144741,4,0,4,5,16,
78990202,7,0,1,6,16,
34206013,4,0,1,5,16,
76217273,4,1,1,3,16,
68350645,3,0,1,3,16,
28159684,3,1,2,4,16,
20669734,4,1,1,3,16,
56522593,3,1,1,5,16,
33859937,3,1,3,3,17,
80010670,3,0,1,2,17,
65858696,3,1,1,5,17,
41328901,4,1,4,5,17,
43727198,5,1,3,3,17,
92684264,3,1,1,4,17,
85787884,3,1,1,2,17,
86921044,3,1,1,5,17,
71825661,2,1,1,3,17,
17131295,4,0,1,5,17,
49214210,4,0,4,5,17,
62988060,3,0,1,4,17,
85544298,3,0,1,2,17,
98851254,4,0,1,5,17,
64414099,5,1,7,3,17,
80905740,4,0,1,6,17,
81328039,5,1,1,6,17,
99408285,3,1,4,4,17,
29343191,3,0,1,4,17,
35349496,2,1,2,3,17,
13065644,3,0,1,4,18,
95460081,4,0,1,5,18,
64011113,3,1,1,3,18,
27616507,2,1,1,3,18,
49939567,4,1,1,5,18,
75199745,4,1,1,4,18,
44495321,2,0,1,4,18,
43710484,5,1,1,6,18,
55483249,5,0,1,7,18,
82785948,6,0,1,3,18,
27442334,3,1,1,5,18,
23859503,3,0,1,2,18,
93231284,3,1,5,4,18,
11178409,3,0,3,2,18,
45932100,5,1,1,5,18,
90997324,3,0,4,5,18,
21904587,3,0,1,5,18,
94781227,3,0,1,3,18,
33689696,3,1,2,3,18,
96305944,2,0,1,5,18,
91994011,3,0,1,5,19,
78417725,3,0,1,1,19,
15314126,5,0,1,5,19,
61829826,6,1,4,5,19,
53670795,4,0,1,2,19,
25215866,3,1,2,5,19,
73586479,5,1,7,5,19,
54446562,2,1,2,5,19,
51276977,5,1,2,5,19,
29571023,6,1,1,5,19,
63873837,3,0,1,3,19,
49074697,3,1,4,3,19,
62092195,4,1,4,5,19,
52475449,3,1,4,5,19,
98312331,4,1,2,3,19,
99997441,5,0,1,5,19,
52845510,3,0,1,3,19,
52358736,5,1,1,2,19,
46541541,3,1,1,5,19,
93480607,4,1,1,5,19,
12163981,4,0,4,3,20,
71609135,4,0,1,2,20,
90829315,3,1,1,6,20,
99169552,3,0,1,2,20,
71249604,3,0,4,5,20,
51720568,5,1,1,4,20,
94339312,3,1,7,2,20,
76392307,5,0,1,5,20,
48276407,2,1,1,3,20,
50001634,2,0,1,4,20,
96097524,2,0,1,4,20,
57296984,4,1,1,2,20,
54764262,3,0,1,5,20,
86260276,4,0,3,2,20,
83131424,3,1,2,8,20,
55194137,2,1,2,5,20,
52500833,7,0,1,2,20,
56489617,3,0,1,5,20,
68676506,3,1,1,3,20,
64665864,3,0,1,3,20,
